"Story","Title","Result","Date","Stability","Duration (s)"
"Autenticacion Andes","usuario con dato seguro en rojo solicita producto en azul","SUCCESS","09:56:57","0.0","19.78"
"Autenticacion Andes","usuario con dato seguro en rojo solicita producto en verde","SUCCESS","09:57:19","0.0","3.96"
"Autenticacion Andes","usuario con dato seguro en rojo solicita producto en rojo","SUCCESS","09:57:23","0.0","3.8"
"Autenticacion Andes","usuario con dato seguro en rojo y verde solicita producto en rojo","SUCCESS","09:57:27","0.0","20.85"
"Autenticacion Andes","usuario con dato seguro en rojo y verde solicita producto en verde","SUCCESS","09:57:48","0.0","6.27"
"Autenticacion Andes","usuario con dato seguro en rojo y verde solicita producto en azul","SUCCESS","09:57:55","0.0","2.22"
"Autenticacion Andes","usuario con dato seguro en rojo y azul solicita producto en rojo","SUCCESS","09:57:57","0.0","1.83"
"Autenticacion Andes","usuario con dato seguro en rojo y azul solicita producto en verde","SUCCESS","09:57:59","0.0","3.59"
"Autenticacion Andes","usuario con dato seguro en rojo y azul solicita producto en azul","SUCCESS","09:58:03","0.0","3.81"
"Autenticacion Andes","usuario con dato seguro en rojo - azul y verde solicita producto en rojo","SUCCESS","09:58:06","0.0","2.62"
"Autenticacion Andes","usuario con dato seguro en rojo - azul y verde solicita producto en verde","SUCCESS","09:58:09","0.0","2.43"
"Autenticacion Andes","usuario con dato seguro en rojo - azul y verde solicita producto en azul","SUCCESS","09:58:12","0.0","3.71"
"Autenticacion Andes","usuario con dato seguro en verde solicita producto en azul","SUCCESS","09:58:16","0.0","2.9"
"Autenticacion Andes","usuario con dato seguro en verde solicita producto en verde","SUCCESS","09:58:19","0.0","4.77"
"Autenticacion Andes","usuario con dato seguro en verde solicita producto en rojo","SUCCESS","09:58:24","0.0","2.33"
"Autenticacion Andes","usuario con dato seguro en verde y azul solicita producto en rojo","SUCCESS","09:58:26","0.0","3.89"
"Autenticacion Andes","usuario con dato seguro en verde y azul solicita producto en verde","FAILURE","09:58:30","0.0","1.75"
"Autenticacion Andes","usuario con dato seguro en verde y azul solicita producto en azul","SUCCESS","09:58:32","0.0","5.32"
"Autenticacion Andes","usuario con dato seguro en azul solicita producto en rojo","SUCCESS","09:58:38","0.0","1.49"
"Autenticacion Andes","usuario con dato seguro en azul solicita producto en verde","SUCCESS","09:58:39","0.0","3.61"
"Autenticacion Andes","usuario con dato seguro en azul solicita producto en azul","SUCCESS","09:58:43","0.0","3.49"
"Autenticacion Andes","usuario sin dato seguro solicita producto","FAILURE","09:58:47","0.0","13.15"
