"Story","Title","Result","Date","Stability","Duration (s)"
"Firma Pagare Deceval","Consulta de pagare en deceval sin pdf","SUCCESS","14:49:32","0.0","10.99"
"Firma Pagare Deceval","Consulta de pagare en deceval con pdf","ERROR","14:49:44","0.0","15.07"
"Firma Pagare Deceval","usuario nuevo crea otorgante","SUCCESS","14:50:00","0.0","2.15"
"Firma Pagare Deceval","usuario nuevo crea pagare","FAILURE","14:50:02","0.0","3.19"
"Firma Pagare Deceval","usuario nuevo Firma pagare","FAILURE","14:50:05","0.0","2.61"
"Firma Pagare Deceval","usuario crea nuevo otorgante con fecha hoy incorrecta","SUCCESS","14:50:08","0.0","1.91"
"Firma Pagare Deceval","usuario envia creacion otorgante sin numero documento","SUCCESS","14:50:10","0.0","19.62"
"Firma Pagare Deceval","usuario envia solicitud de consulta pagare con pdf con id inexistente","ERROR","14:50:29","0.0","0.03"
"Firma Pagare Deceval","usuario envia solicitud de consulta con fecha hoy incorrecta","ERROR","14:50:29","0.0","0.02"
"Firma Pagare Deceval","usuario envia solicitud de consulta sin algun campo obligatorio","ERROR","14:50:30","0.0","0.08"
"Firma Pagare Deceval","usuario solicita crear pagare sin cuenta otorgante","SUCCESS","14:50:30","0.0","1.52"
"Firma Pagare Deceval","usuario solicita crear pagare sin numero pagare entidad","SUCCESS","14:50:31","0.0","1.39"
"Firma Pagare Deceval","usuario solicita firmar pagare con id pagare inexistente","SUCCESS","14:50:33","0.0","2.18"
